current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num
images/20_0 copy 2.jpg,0,12,0,0,7
images/12_40 copy 3.jpg,0,13,0,0,7
images/20_0 copy 2.jpg,0,14,0,0,7
images/pair15 copy 2.jpg,0,15,0,0,7
images/12_0 copy 2.jpg,0,16,0,0,7
images/pair09.jpg,0,17,0,0,7
images/18_0 copy.jpg,0,18,0,0,7
images/16_12 copy 2.jpg,0,19,0,0,7
images/blank.jpg,0,20,1,0,7
images/10_0 copy 7.jpg,0,21,0,0,7
images/15_12 copy 6.jpg,0,22,0,0,7
images/16_28 copy 7.jpg,0,23,0,0,7
images/6_28 copy 7.jpg,0,24,0,0,7
images/13_40 copy 2.jpg,0,25,0,0,7
images/17_40 copy 5.jpg,0,26,0,0,7
images/11_40 copy 6.jpg,0,27,0,0,7
images/pair05 copy 4.jpg,0,28,0,0,7
images/7_40 copy 2.jpg,0,29,0,0,7
images/blank.jpg,0,30,1,0,7
images/18_0.jpg,0,31,0,0,7
images/19_28.jpg,0,32,0,0,7
images/pair05.jpg,0,33,0,0,7
images/12_40 copy 3.jpg,0,34,0,0,7
images/12_12 copy 3.jpg,0,35,0,0,7
images/15_12.jpg,0,36,0,0,7
images/10_0.jpg,0,37,0,0,7
images/13_12 copy 5.jpg,0,38,0,0,7
images/11_0 copy.jpg,0,39,0,0,7
images/blank.jpg,0,40,1,0,7
images/14_28 copy 3.jpg,0,41,0,0,7
images/20_0 copy 5.jpg,0,42,0,0,7
images/19_28 copy 5.jpg,0,43,0,0,7
images/pair04 copy.jpg,0,44,0,0,7
images/23_40 copy.jpg,0,45,0,0,7
images/16_12 copy 6.jpg,0,46,0,0,7
images/23_40 copy.jpg,0,47,0,0,7
images/21_12 copy.jpg,0,48,0,0,7
images/21_12 copy.jpg,0,49,0,0,7
images/blank.jpg,0,50,1,0,7
images/10_28.jpg,0,51,0,0,7
images/10_40 copy 4.jpg,0,52,0,0,7
images/11_0 copy.jpg,0,53,0,0,7
images/20_28 copy 5.jpg,0,54,0,0,7
images/11_28 copy 4.jpg,0,55,0,0,7
images/10_0 copy.jpg,0,56,0,0,7
images/17_40.jpg,0,57,0,0,7
images/19_28.jpg,0,58,0,0,7
images/14_12 copy 5.jpg,0,59,0,0,7
images/6_40 copy 6.jpg,0,60,0,0,7
images/7_40 copy.jpg,0,61,0,0,7
images/22_40 copy 7.jpg,0,62,0,0,7
images/23_12 copy 5.jpg,0,63,0,0,7
images/pair09 copy.jpg,0,64,0,0,7
images/21_40 copy 5.jpg,0,65,0,0,7
images/pair18 copy 4.jpg,0,66,0,0,7
images/20_40 copy 4.jpg,0,67,0,0,7
images/pair12 copy 5.jpg,0,68,0,0,7
images/11_28 copy 7.jpg,0,69,0,0,7
images/14_28 copy 4.jpg,0,70,0,0,7
images/blank.jpg,0,71,1,0,7
