current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,block.started,block.stopped,key_resp_3.stopped,polygon_2.stopped,key_resp_3.rt,key_resp_3.duration,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.03231027700530831,0.04334175000258256,0.04334175000258256,2.667959807004081,5,2.615751163000823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
,,,,,,,,,,,,,,,,,,,2.6679760449987953,2.668011108005885,2.668016230003559,2.684743846002675,2.684743846002675,4.954528139001923,space,2.266352223996364,None,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
images/blank.jpg,0,0,1,0,0,0,0,0,0,5.0431951740029035,,,,,,,,,,,,,,,,,,4.992674446002638,5.002156615002605,None,5.00303634100419,5.0431951740029035,5.0431951740029035,9.003034610002942,None,9.00363451600424,9.003665171003377,,,,,,,,,,,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,9.018189656002505,,,,,,,,,,,,,,,,,,9.003844361999654,9.005751436001447,None,9.005834578005306,9.018189656002505,9.018189656002505,13.004259004999767,2,13.005025076003221,13.00505716400221,13.018132805998903,13.018132805998903,3.8529065260008792,None,,,,,,,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,13.018132805998903,,,,,,,,,,,,,,,,,,13.005259878998913,13.007020624005236,None,13.007121242000721,13.018132805998903,13.018132805998903,17.001654753003095,1,17.001989497999602,17.002024260000326,17.01762454800337,17.01762454800337,0.7490335510010482,None,,,,,,,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
images/11_12.jpg,0,3,0,0,0,0,3,3,3,17.01762454800337,,,,,,,,,,,,,,,,,,17.00225391799904,21.002502496005036,None,21.00272049400519,,,21.002768912003376,None,21.00289703800081,21.00293630899978,,,,,17.01762454800337,18.001671597005043,18.001671597005043,21.00235535500542,21.00235535500542,,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
images/23_12 copy 3.jpg,0,4,0,0,0,0,4,4,4,21.018460744999174,,,,,,,,,,,,,,,,,,21.003222751001886,25.019180940005754,None,25.019362539998838,,,25.019399904005695,None,25.019523451999703,25.01954184799979,,,,,21.018460744999174,22.0186851690014,22.0186851690014,,,,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
images/14_40 copy.jpg,0,5,0,0,0,0,5,5,5,25.034245043003466,,,,,,,,,,,,,,,,,,25.019677296004375,29.01931512300507,None,29.019418567004323,,,29.019439540003077,None,29.019503850999172,29.019523417999153,,,,,25.034245043003466,26.017314756005362,26.017314756005362,29.019195313005184,29.019195313005184,29.034419412004354,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
images/12_40 copy 3.jpg,0,6,0,0,0,0,6,6,6,29.034419412004354,,,,,,,,,,,,,,,,,,29.019666770000185,33.01903775900428,None,33.019245276998845,,,33.01928907500405,None,33.019417784002144,33.01945705900289,,,,,29.034419412004354,30.01835543600464,30.01835543600464,33.01876920599898,33.01876920599898,33.035460022001644,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
images/17_40 copy 2.jpg,0,7,0,0,0,0,7,7,7,33.035460022001644,,,,,,,,,,,,,,,,,,33.0197462799988,37.02078191700275,None,37.02099857400026,,,37.021044503002486,None,37.021171092004806,37.021210438004346,,,,,33.035460022001644,34.01819143800094,34.01819143800094,37.02063545200508,37.02063545200508,,1,001,2024-03-14_09h42.33.382,replicate_nsd,2023.2.3,60.98980104135774,2024-03-14 09h42.44.261322 -0400,
,,,,,,,,,,37.03586453400203,,,,,,,,,,,,,,,,,,37.021497886998986,,,,,,,,,,,,,,37.03586453400203,38.03628698200191,38.03628698200191,,,,,,,,,,,
