loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,current_image,is_repeat,thisRow.t,notes,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,trial.stopped,press_if_repeat.keys,block.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.031015474000014365,0.03121502799967857,0.031237802999385167,0.042020165999929304,0.042020165999929304,1.1329275150001195,space,1.0825760110001283,None,,,,,,,,,1,001,2024-03-12_16h48.35.355,replicate_nsd,2023.2.3,59.79905460561377,2024-03-12 16h48.44.090116 -0400,
,,,,,,1.1575987159994838,,,,,,,,,,,1.1431244499999593,2.1330326429997513,2.1330326429997513,,,5.117867132999891,None,5.118305885000154,,,,,,,,
