current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,block.started,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,press_if_repeat.rt,press_if_repeat.duration,key_resp_3.stopped,polygon_2.stopped,text_2.started,text_2.stopped,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/11_28 copy 2.jpg,0,9,0,0,0,0,9,9,9,40.744441350998386,,,,,,,,,,,,,,,,,,40.73611864299892,44.730507619999116,None,44.73078277500099,,,44.73084235499846,None,44.73103704599998,44.731096990999504,40.744441350998386,41.723540071998286,41.723540071998286,44.71465695799998,44.71465695799998,44.7389753009993,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/blank.jpg,0,10,1,0,0,0,10,10,10,44.7389753009993,,,,,,,,,,,,,,,,,,44.731441040999925,44.73460993700064,None,44.734814814000856,44.7389753009993,44.7389753009993,48.720225797998864,None,48.72033475799981,48.720359633000044,,,,,,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/10_40 copy 5.jpg,0,11,0,0,0,0,11,11,11,48.726158432000375,,,,,,,,,,,,,,,,,,48.720532193998224,52.70928328399896,None,52.70943165100107,,,52.70946361800088,None,52.70956555199882,52.70959750700058,48.726158432000375,49.70890341300037,49.70890341300037,52.69529515300019,52.69529515300019,52.71883301100024,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair17.jpg,0,12,0,0,0,0,12,12,12,52.71883301100024,,,,,,,,,,,,,,,,,,52.7098286420005,56.7019975889998,None,56.70210199699795,,,56.70212416999857,None,56.70219441399968,56.702216790999955,52.71883301100024,53.698380964000535,53.698380964000535,56.686008929998934,56.686008929998934,56.70877291999932,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/5_40 copy 2.jpg,0,13,0,0,0,0,13,13,13,56.70877291999932,,,,,,,,,,,,,,,,,,56.7023796350004,60.69359813600022,None,60.693740745999094,,,60.69377110599817,None,60.693868531998305,60.69389993100049,56.70877291999932,57.69156138099788,57.69156138099788,60.680466544999945,60.680466544999945,60.70049139399998,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/11_28 copy 2.jpg,0,14,0,0,0,0,14,14,14,60.70049139399998,,,,,,,,,,,,,,,,,,60.694127056998695,64.68368718000056,None,64.68382311000096,,,64.68384518099992,None,64.6839195829998,64.68394623099812,60.70049139399998,61.68137675500111,61.68137675500111,64.66864982499828,64.66864982499828,64.68931314899964,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/11_28 copy 2.jpg,0,15,0,0,0,0,15,15,15,64.68931314899964,,,,,,,,,,,,,,,,,,64.68412542100123,68.67254316199978,None,68.67269107700122,,,68.672722891999,None,68.67282506799893,68.67285691500001,64.68931314899964,65.67575089000093,65.67575089000093,68.66543899799944,68.66543899799944,68.68063553799948,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/13_40 copy 3.jpg,0,16,0,0,0,0,16,16,16,68.68063553799948,,,,,,,,,,,,,,,,,,68.6732935809996,72.66429715800041,None,72.66440203299862,,,72.66442352000013,None,72.6644933030002,72.66451547299948,68.68063553799948,69.66310171199802,69.66310171199802,72.65224893599952,72.65224893599952,72.67078993199902,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/16_0 copy 3.jpg,0,17,0,0,0,0,17,17,17,72.67078993199902,,,,,,,,,,,,,,,,,,72.66467674199885,76.65729012299926,None,76.65746169799968,,,76.6574936879988,None,76.6575963739997,76.65762844599885,72.67078993199902,73.65275777599891,73.65275777599891,76.64156979999825,76.64156979999825,76.66813625500072,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair13 copy 6.jpg,0,18,0,0,0,0,18,18,18,76.66813625500072,,,,,,,,,,,,,,,,,,76.65786369499983,80.65103702800116,1,80.65174532699893,,,80.65177229899928,None,80.65185137799926,80.65187540400075,76.66813625500072,77.6458072509995,77.6458072509995,80.63537076499779,80.63537076499779,80.65810870099813,2.8308775490004336,None,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/23_12.jpg,0,19,0,0,0,0,19,19,19,80.65810870099813,,,,,,,,,,,,,,,,,,80.6520379930007,84.6418736409978,None,84.64204343799793,,,84.64207593199899,None,84.642176551999,84.64220833299987,80.65810870099813,81.64069449700037,81.64069449700037,84.64165670500006,84.64165670500006,84.65708364599777,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/blank.jpg,0,20,1,0,0,0,20,20,20,84.65708364599777,,,,,,,,,,,,,,,,,,84.64243824499863,84.64615672099899,None,84.64630964699973,84.65708364599777,84.65708364599777,88.64101265499994,None,88.64116213799934,93.6412363269992,,,,,,,,,88.65597237399925,88.65597237399925,88.65597237399925,93.65739852000115,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/18_0 copy 7.jpg,0,21,0,0,0,0,21,21,21,93.65739852000115,,,,,,,,,,,,,,,,,,93.6415497779999,97.65715842699865,None,97.65728895199936,,,97.65731502899871,None,97.65738701800001,97.65741148699817,93.65739852000115,94.6560542340012,94.6560542340012,97.65707538399874,97.65707538399874,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
