current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,block.started,text_2.started,text_2.stopped,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,key_resp_3.stopped,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.046199071999581065,0.05720353899960173,0.05720353899960173,282.11931077600093,5,282.06068740400224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
,,,,,,,,,,,,,,,,,,,282.11933558999954,282.11940110900105,282.11940972400043,282.1240037380012,282.1240037380012,282.3317305490018,space,0.2057358040001418,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/blank.jpg,0,0,1,0,0,0,0,0,0,282.39439506300187,,,,,,,,,,,,,,,,,,282.3720812009997,282.3766916839995,None,282.3771715820003,282.39439506300187,282.39439506300187,286.36253609300184,backspace,3.7994019819998357,None,286.3635940400018,286.36766584200086,291.357212531002,291.3505555970005,,,,,,,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,291.357212531002,,,,,,,,,,,,,,,,,,291.3508049100019,291.353229327,None,291.35333388599975,291.357212531002,291.357212531002,295.33728880200215,s,3.6725992809988384,None,295.3376227289991,295.3420276950019,300.3331479799999,300.3257258550002,,,,,,,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,300.3331479799999,,,,,,,,,,,,,,,,,,300.32604192800136,300.3286019170009,None,300.32875483300086,300.3331479799999,300.3331479799999,304.3133599710018,space,2.9606512390018906,None,304.31358516800174,304.31720740200035,309.3111842500002,309.30248854599995,,,,,,,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/11_12.jpg,0,3,0,0,0,0,3,3,3,309.3111842500002,,,,,,,,,,,,,,,,,,309.3028025370004,313.29688807500133,None,313.29710160200193,,,313.2971520889987,None,,,313.29728300900024,313.30190973999925,318.3058109049998,318.2859736319988,309.3111842500002,310.3091195429988,310.3091195429988,313.30190973999925,313.30190973999925,313.30190973999925,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/23_12 copy 3.jpg,0,4,0,0,0,0,4,4,4,318.3058109049998,,,,,,,,,,,,,,,,,,318.2862651780015,322.28913605900016,None,322.289338376002,,,322.2893825930005,None,,,322.2895103769988,322.3042955689998,,327.2905347900014,318.3058109049998,319.2847726430009,319.2847726430009,322.2888676879993,322.2888676879993,322.3042955689998,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/14_40 copy.jpg,0,5,0,0,0,0,5,5,5,327.29988716799926,,,,,,,,,,,,,,,,,,327.2908649279998,331.28690031800215,None,331.2870143879991,,,331.2870410530013,None,,,331.28712045000066,331.29102593300195,336.28282039999976,336.27596870699927,327.29988716799926,328.3009585079999,328.3009585079999,331.29102593300195,331.29102593300195,331.2867743700008,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/12_40 copy 3.jpg,0,6,0,0,0,0,6,6,6,336.28282039999976,,,,,,,,,,,,,,,,,,336.27619413100183,340.26613515400095,None,340.26629005200084,,,340.26631916599945,None,,,340.2664036599999,340.2854214580002,,345.268576409002,336.28282039999976,337.2743964559995,337.2743964559995,340.2854214580002,340.2854214580002,340.2854214580002,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/17_40 copy 2.jpg,0,7,0,0,0,0,7,7,7,345.2753642730022,,,,,,,,,,,,,,,,,,345.2687950489999,349.2591143940008,None,349.25926794599945,,,349.25929768300193,None,,,349.25938038800086,349.26373078899996,354.2599405680012,354.2483197340007,345.2753642730022,346.2537330209998,346.2537330209998,349.24135071899946,349.24135071899946,349.26373078899996,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
