current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,block.started,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.034887885998614365,0.04593007899893564,0.04593007899893564,4.089991230001033,5,4.0297887999986415,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
,,,,,,,,,,,,,,,,,,,4.090024647000973,4.090089573001023,4.090100440000242,4.105966065999382,4.105966065999382,4.806409748998703,space,0.697146492999309,None,,,,,,,,,,,,,,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
images/blank.jpg,0,0,1,1,0,0,0,0,0,4.901911588000075,,,,,,,,,,,,,,,,,,4.849843639000028,4.854535408998345,None,4.855389727999864,4.855480931000784,4.855489404999389,4.8555282759989495,,,,,,,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,4.901911588000075,,,,,,,,,,,,,,,,,,4.855784163999488,4.858237886997813,None,4.858383605998824,4.858470598999702,4.858478903999639,4.858511593000003,,,,,,,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,4.901911588000075,,,,,,,,,,,,,,,,,,4.858759522998298,4.861206509998738,None,4.861352429998078,4.861438474999886,4.8614465489990835,4.861478909999278,,,,,,,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
images/18_12 copy 3.jpg,0,3,0,0,0,0,3,3,3,4.901911588000075,,,,,,,,,,,,,,,,,,4.861731313998462,8.873371555000631,None,8.873589899998478,8.873611495997466,8.873624761999963,8.873660111999925,4.901911588000075,5.873163451000437,5.873163451000437,8.873229408000043,8.873229408000043,,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
images/14_28 copy 2.jpg,0,4,0,0,0,0,4,4,4,8.88938313700055,,,,,,,,,,,,,,,,,,8.873963975998777,12.873515273000521,None,12.87372084999879,12.873740568000358,12.873753668998688,12.873786938998819,8.88938313700055,9.873345088999486,9.873345088999486,12.873263372999645,12.873263372999645,12.892900694998389,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
images/pair01 copy 5.jpg,0,5,0,0,0,0,5,5,5,12.892900694998389,,,,,,,,,,,,,,,,,,12.874087594998855,16.890150549999817,None,16.890376227998786,16.890399105999677,16.890412180000567,16.890447632998985,12.892900694998389,13.873185428998113,13.873185428998113,16.873187379998853,16.873187379998853,,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
images/13_28 copy 4.jpg,0,6,0,0,0,0,6,6,6,16.90624367700002,,,,,,,,,,,,,,,,,,16.890755933000037,20.890052285998536,None,20.890259093997884,20.890278941998986,20.890292191998014,20.890325114000007,16.90624367700002,17.88966597000035,17.88966597000035,20.889799313998083,20.889799313998083,20.90619988400067,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
images/9_0.jpg,0,7,0,0,0,0,7,7,7,20.90619988400067,,,,,,,,,,,,,,,,,,20.890626233998773,24.890116022997972,None,24.890323087998695,24.89034285299931,24.890354884999397,24.890388257997984,20.90619988400067,21.893579786999908,21.893579786999908,24.90632733199891,24.90632733199891,24.90632733199891,1,001,2024-03-13_13h41.13.893,replicate_nsd,2023.2.3,60.579852659698304,2024-03-13 13h41.29.796045 -0400,
