current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,blank_trial.stopped,key_resp_3.keys,block.started,block.stopped,key_resp_3.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.05219384899828583,0.06013144699682016,0.06013144699682016,2.321385448998626,5,2.257135751999158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
,,,,,,,,,,,,,,,,,,,2.3214039679987764,2.3214405339967925,2.321446604997618,2.3379041579974,2.3379041579974,2.937881555997592,space,0.5994655659997079,None,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
images/blank.jpg,0,0,1,1,0,0,0,0,0,3.0079620069991506,,,,,,,,,,,,,,,,,,2.9778749569995853,2.9818934539980546,None,2.982343078998383,3.0079620069991506,6.973005245999957,None,6.973409866997827,6.973440912999649,,,,,,,,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,6.987656014996901,,,,,,,,,,,,,,,,,,6.973592944999837,6.9749994249978045,None,6.975073593999696,6.987656014996901,10.973025864997908,None,10.97314772199752,10.973179713997524,10.987873461999698,,,,,,,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,10.987873461999698,,,,,,,,,,,,,,,,,,10.973350989999744,10.97484829199675,None,10.974935299997014,10.987873461999698,14.97304520799662,None,14.973192172998097,14.973221311000088,14.990494830999523,,,,,,,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
images/18_12 copy 3.jpg,0,3,0,0,0,0,3,3,3,14.990494830999523,,,,,,,,,,,,,,,,,,14.973411307997594,18.988716848998592,None,18.988828412999283,,18.988841850998142,None,18.988909897998383,18.98893317999682,,14.990494830999523,15.987582190999092,15.987582190999092,18.988651556999685,18.988651556999685,,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
images/14_28 copy 2.jpg,0,4,0,0,0,0,4,4,4,19.00517566599956,,,,,,,,,,,,,,,,,,18.98909189799815,22.989841194998007,None,22.98994476000007,,22.98995710699819,None,22.990019193999615,22.990042294997693,,19.00517566599956,20.00440896999862,20.00440896999862,,,,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
images/pair01 copy 5.jpg,0,5,0,0,0,0,5,5,5,23.004079880000063,,,,,,,,,,,,,,,,,,22.990195253998536,26.988438375999976,None,26.9885576509987,,26.988569408997137,None,26.988634358000127,26.98865521499829,,23.004079880000063,23.98835061599675,23.98835061599675,26.988306334998924,26.988306334998924,27.00484327199956,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
images/13_28 copy 4.jpg,0,6,0,0,0,0,6,6,6,27.00484327199956,,,,,,,,,,,,,,,,,,26.988803831998666,30.988390958998934,None,30.988493691998883,,30.988505077999434,None,30.988567109998257,30.988588104999508,,27.00484327199956,27.988163822999923,27.988163822999923,30.988279391000106,30.988279391000106,31.005036389997258,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
images/9_0.jpg,0,7,0,0,0,0,7,7,7,31.005036389997258,,,,,,,,,,,,,,,,,,30.98873308399925,34.98979474999942,None,34.989902888999495,,34.9899149749981,None,34.989974819000054,34.989997472999676,,31.005036389997258,32.004266951997124,32.004266951997124,,,,,,1,001,2024-03-13_13h44.13.532,replicate_nsd,2023.2.3,59.92413161524143,2024-03-13 13h44.21.848943 -0400,
