current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,block.started,block.stopped,key_resp_3.stopped,polygon_2.stopped,key_resp_3.rt,key_resp_3.duration,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,press_if_repeat.rt,press_if_repeat.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.03209198200056562,0.041487564998533344,0.041487564998533344,29.258016175001103,5,29.206507204002264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
,,,,,,,,,,,,,,,,,,,29.25803551699937,29.2580788209998,29.25808508800037,29.27226569800041,29.27226569800041,32.122025947999646,space,2.8402273959982267,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
images/blank.jpg,0,0,1,0,0,0,0,0,0,32.20202444000097,,,,,,,,,,,,,,,,,,32.1635796269984,32.16610690699963,None,32.16656143,32.20202444000097,32.20202444000097,36.15638666199811,None,36.15703722000035,36.157073235997814,,,,,,,,,,,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,36.17287023999961,,,,,,,,,,,,,,,,,,36.157281626998156,36.15958153599786,None,36.1596797860002,36.17287023999961,36.17287023999961,40.15540563600007,s,40.15628240099977,40.15631928500079,40.17205774199829,40.17205774199829,3.6902250290004304,None,,,,,,,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,40.17205774199829,,,,,,,,,,,,,,,,,,40.15657505299896,40.15874189399983,None,40.15886256099839,40.17205774199829,40.17205774199829,44.155828426999506,period,44.156101584998396,44.156130341998505,44.17232320800031,44.17232320800031,2.0813171669979056,None,,,,,,,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
images/11_12.jpg,0,3,0,0,0,0,3,3,3,44.17232320800031,,,,,,,,,,,,,,,,,,44.15638752100131,48.155366376999154,None,48.15551604099892,,,48.155543057000614,None,48.15561594999963,48.155638535001344,,,,,44.17232320800031,45.17175191500064,45.17175191500064,48.17209477700089,48.17209477700089,48.17209477700089,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
images/23_12 copy 3.jpg,0,4,0,0,0,0,4,4,4,48.17209477700089,,,,,,,,,,,,,,,,,,48.155811354001344,52.15472422599851,None,52.15483384500112,,,52.15485687600085,None,52.15492673100016,52.15494698800103,,,,,48.17209477700089,49.155805536000116,49.155805536000116,52.144734073997824,52.144734073997824,52.161476172997936,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
images/14_40 copy.jpg,0,5,0,0,0,0,5,5,5,52.161476172997936,,,,,,,,,,,,,,,,,,52.15511102899836,56.15548379000029,None,56.15562107299775,,,56.155647826999484,None,56.155721087998245,56.15574307299903,,,,,52.161476172997936,53.14350742999886,53.14350742999886,56.15539912999884,56.15539912999884,,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
images/12_40 copy 3.jpg,0,6,0,0,0,0,6,6,6,56.172191448000376,,,,,,,,,,,,,,,,,,56.15590760399937,60.155604327999754,None,60.15572941999926,,,60.15575291300047,None,60.155823720000626,60.15584453699921,,,,,56.172191448000376,57.15566525900067,57.15566525900067,60.15545243199813,60.15545243199813,60.17221115199936,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
images/17_40 copy 2.jpg,0,7,0,0,0,0,7,7,7,60.17221115199936,,,,,,,,,,,,,,,,,,60.15601158999925,64.15563287999976,1,64.15624720000051,,,64.1562741710004,None,64.15634343499914,64.15636500899927,,,,,60.17221115199936,61.15608043500106,61.15608043500106,64.15547633700044,64.15547633700044,64.17195666100088,2.1800465260021156,None,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
images/pair09 copy.jpg,0,8,0,0,0,0,8,8,8,64.17195666100088,,,,,,,,,,,,,,,,,,64.15652150599999,68.15536998599782,None,68.15553981899939,,,68.15557337000064,None,68.15567562499928,68.15570677199867,,,,,64.17195666100088,65.1557838330009,65.1557838330009,68.15516278699943,68.15516278699943,68.17189101599797,,,1,001,2024-03-13_19h04.18.923,replicate_nsd,2023.2.3,59.9067757106999,2024-03-13 19h04.31.736096 -0400,
